순번	광역단체	기초단체	토건예산(2009년)	토건예산(2012년)	토건예산증감(p)	복지예산(2009년)	복지예산(2012년)	복지예산증감(p)	자살자수(2012년, 10만명 당 연령표준화)
232	경남	의령군	52.28	46.92	-5.36	10.2	13.6	3.4	30
233	경남	함안군	51.95	38.22	-13.73	16.0	17.7	1.7	29.3
234	경남	창녕군	49.78	43.88	-5.90	14.0	15.1	1.1	24.5
235	경남	고성군	57.78	41.85	-15.93	13.6	16.1	2.5	21.8
236	경남	남해군	50.55	46.17	-4.38	15.0	17.1	2.1	28.1
237	경남	하동군	50.77	48.79	-1.98	13.8	14.0	0.2	40.1
238	경남	산청군	49.45	52.51	3.06	14.3	13.1	-1.2	35.2
239	경남	함양군	55.92	50.27	-5.65	13.9	14.6	0.7	49.3
240	경남	거창군	48.77	39.73	-9.04	13.6	16.1	2.5	20.1
241	경남	합천군	52.85	41.77	-11.08	14.5	15.5	1.0	38.5
242	제주	본청	48.54	38.71	-9.83	14.3	17.6	3.3	29.4
